wall_time,seq,ts_ms,ax,ay,az,gx,gy,gz,ppg,dropped_before
1773933347.469457,28590,287979,0.0,0.0,0.0,0.0,0.0,0.0,1318,0
1773933347.4782062,28591,287989,0.0,0.0,0.0,0.0,0.0,0.0,1318,0
1773933347.4879906,28592,287999,0.0,0.0,0.0,0.0,0.0,0.0,1318,0
1773933347.4984493,28593,288009,0.0,0.0,0.0,0.0,0.0,0.0,2998,0
1773933347.508447,28594,288019,0.0,0.0,0.0,0.0,0.0,0.0,2998,0
1773933347.5180607,28595,288029,0.0,0.0,0.0,0.0,0.0,0.0,2998,0
1773933347.5289419,28596,288039,0.0,0.0,0.0,0.0,0.0,0.0,2998,0
1773933347.5385013,28597,288049,0.0,0.0,0.0,0.0,0.0,0.0,1196,0
1773933347.5482242,28598,288059,0.0,0.0,0.0,0.0,0.0,0.0,1196,0
1773933347.5581377,28599,288069,0.0,0.0,0.0,0.0,0.0,0.0,1196,0
1773933347.568079,28600,288079,0.0,0.0,0.0,0.0,0.0,0.0,1196,0
1773933347.578486,28601,288089,0.0,0.0,0.0,0.0,0.0,0.0,625,0
1773933347.5890567,28602,288099,0.0,0.0,0.0,0.0,0.0,0.0,625,0
1773933347.598169,28603,288109,0.0,0.0,0.0,0.0,0.0,0.0,625,0
1773933347.608217,28604,288119,0.0,0.0,0.0,0.0,0.0,0.0,625,0
1773933347.6186454,28605,288129,0.0,0.0,0.0,0.0,0.0,0.0,554,0
1773933347.6281173,28606,288139,0.0,0.0,0.0,0.0,0.0,0.0,554,0
1773933347.638301,28607,288149,0.0,0.0,0.0,0.0,0.0,0.0,554,0
1773933347.6479032,28608,288159,0.0,0.0,0.0,0.0,0.0,0.0,554,0
1773933347.658426,28609,288169,0.0,0.0,0.0,0.0,0.0,0.0,544,0
1773933347.6686804,28610,288179,0.0,0.0,0.0,0.0,0.0,0.0,544,0
1773933347.6780162,28611,288189,0.0,0.0,0.0,0.0,0.0,0.0,544,0
1773933347.6879723,28612,288199,0.0,0.0,0.0,0.0,0.0,0.0,544,0
1773933347.6983316,28613,288209,0.0,0.0,0.0,0.0,0.0,0.0,467,0
1773933347.7080193,28614,288219,0.0,0.0,0.0,0.0,0.0,0.0,467,0
1773933347.7181773,28615,288229,0.0,0.0,0.0,0.0,0.0,0.0,467,0
1773933347.7290645,28616,288239,0.0,0.0,0.0,0.0,0.0,0.0,467,0
1773933347.7386172,28617,288249,0.0,0.0,0.0,0.0,0.0,0.0,404,0
1773933347.747942,28618,288259,0.0,0.0,0.0,0.0,0.0,0.0,404,0
1773933347.7580671,28619,288269,0.0,0.0,0.0,0.0,0.0,0.0,404,0
1773933347.7680016,28620,288279,0.0,0.0,0.0,0.0,0.0,0.0,404,0
1773933347.7782602,28621,288289,0.0,0.0,0.0,0.0,0.0,0.0,360,0
1773933347.7881715,28622,288299,0.0,0.0,0.0,0.0,0.0,0.0,360,0
1773933347.798107,28623,288309,0.0,0.0,0.0,0.0,0.0,0.0,360,0
1773933347.8080862,28624,288319,0.0,0.0,0.0,0.0,0.0,0.0,360,0
1773933347.8185077,28625,288329,0.0,0.0,0.0,0.0,0.0,0.0,332,0
1773933347.8281457,28626,288339,0.0,0.0,0.0,0.0,0.0,0.0,332,0
1773933347.838132,28627,288349,0.0,0.0,0.0,0.0,0.0,0.0,332,0
1773933347.8479476,28628,288359,0.0,0.0,0.0,0.0,0.0,0.0,332,0
1773933347.8584871,28629,288369,0.0,0.0,0.0,0.0,0.0,0.0,304,0
1773933347.8679924,28630,288379,0.0,0.0,0.0,0.0,0.0,0.0,304,0
